label,filepath
Dog,Dog/3251.jpg
Cat,Cat/3048.jpg
Dog,Dog/3588.jpg
Cat,Cat/4393.jpg
Cat,Cat/64.jpg
Dog,Dog/1994.jpg
Cat,Cat/1096.jpg
Cat,Cat/5858.jpg
Cat,Cat/3507.jpg
Cat,Cat/30.jpg
Cat,Cat/2256.jpg
Dog,Dog/5246.jpg
Dog,Dog/4530.jpg
Cat,Cat/3337.jpg
Cat,Cat/12409.jpg
Dog,Dog/4017.jpg
Dog,Dog/1312.jpg
Dog,Dog/1351.jpg
Cat,Cat/3097.jpg
Dog,Dog/168.jpg
Dog,Dog/3178.jpg
Dog,Dog/2270.jpg
Cat,Cat/3205.jpg
Dog,Dog/5935.jpg
Cat,Cat/2190.jpg
Dog,Dog/3641.jpg
Dog,Dog/3580.jpg
Cat,Cat/5028.jpg
Dog,Dog/5021.jpg
Cat,Cat/1800.jpg
Cat,Cat/1965.jpg
Cat,Cat/1749.jpg
Cat,Cat/3556.jpg
Cat,Cat/1637.jpg
Cat,Cat/4706.jpg
Cat,Cat/4078.jpg
Cat,Cat/6185.jpg
Dog,Dog/5987.jpg
Dog,Dog/131.jpg
Cat,Cat/6028.jpg
Dog,Dog/977.jpg
Cat,Cat/2033.jpg
Cat,Cat/3976.jpg
Cat,Cat/1367.jpg
Dog,Dog/864.jpg
Dog,Dog/4594.jpg
Dog,Dog/5212.jpg
Cat,Cat/5199.jpg
Cat,Cat/249.jpg
Dog,Dog/4614.jpg
Cat,Cat/5553.jpg
Dog,Dog/2921.jpg
Cat,Cat/751.jpg
Cat,Cat/701.jpg
Dog,Dog/2426.jpg
Dog,Dog/5119.jpg
Dog,Dog/6031.jpg
Cat,Cat/4430.jpg
Dog,Dog/1429.jpg
Cat,Cat/1757.jpg
Dog,Dog/5209.jpg
Cat,Cat/2778.jpg
Cat,Cat/6072.jpg
Dog,Dog/6085.jpg
Cat,Cat/5140.jpg
Dog,Dog/4509.jpg
Dog,Dog/4386.jpg
Cat,Cat/1911.jpg
Cat,Cat/4605.jpg
Dog,Dog/19.jpg
Cat,Cat/2884.jpg
Dog,Dog/4843.jpg
Dog,Dog/1666.jpg
Cat,Cat/1272.jpg
Cat,Cat/2559.jpg
Dog,Dog/5000.jpg
Dog,Dog/2573.jpg
Dog,Dog/377.jpg
Dog,Dog/5828.jpg
Cat,Cat/2217.jpg
Dog,Dog/5100.jpg
Cat,Cat/3739.jpg
Cat,Cat/5048.jpg
Cat,Cat/6366.jpg
Cat,Cat/4418.jpg
Cat,Cat/12471.jpg
Cat,Cat/2729.jpg
Cat,Cat/3901.jpg
Cat,Cat/3817.jpg
Dog,Dog/1596.jpg
Dog,Dog/4219.jpg
Dog,Dog/633.jpg
Cat,Cat/4394.jpg
Cat,Cat/3012.jpg
Cat,Cat/2894.jpg
Cat,Cat/1735.jpg
Cat,Cat/2284.jpg
Cat,Cat/5751.jpg
Cat,Cat/6065.jpg
Cat,Cat/2305.jpg
